"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|P09012|SNRPA_HUMAN",375081596.666667,445921536.666667,369042066.666667,354857453.333333,429689920,388728533.333333,395316953.333333,276341666.666667,315715146.666667,330784666.666667,383664450,358488190
"sp|P09104|ENOG_HUMAN",89063660.3333333,68404231,73033986,98214832,98708261.3333333,82827246,87480254.3333333,62356094.3333333,70648264,72179017.6666667,85622669.3333333,117725042
"sp|P09110|THIK_HUMAN",315489897,304750376.666667,277571504,231086426.666667,410197540,270427895.333333,231604050,248048920,315496380,304742121,291378806.666667,479719223.333333
"sp|P09132|SRP19_HUMAN",77535636.6666667,93166683.3333333,62043960,70865174.3333333,99914297,87283616.6666667,20586273.3333333,44565500,59720906.3333333,57996892.6666667,77065823.3333333,57664466.6666667
"sp|P09234|RU1C_HUMAN",12081470,12289170,9089139,7414921,11993980,49326221,NA,11378170,11477910,9109237,10096280,16203115
"sp|P09327|VILI_HUMAN",1198800810,1320113770,957108923.333333,1007952796.66667,1369691000,1186109133.33333,1248607486.66667,764535533.333333,981668623.333333,961449760,1141097100,1122954520
"sp|P09382|LEG1_HUMAN",44700336.6666667,45855303.3333333,42803339.3333333,58445283.3333333,51973183.3333333,57888013.3333333,24530514,71096026.6666667,57092383.3333333,82630180,66920923.3333333,34866273.3333333
"sp|P09417|DHPR_HUMAN",266634106.666667,182633266.666667,248576733.333333,201750550,158511906.666667,276399860,448811516.666667,218735393.333333,219304690,156957600,266020456.666667,236835640
"sp|P09429|HMGB1_HUMAN",604221122,620706054,597631606.666667,415649870,619244466.666667,594049380,661516370,555992863.333333,680894545.333333,476576453.333333,501923646.666667,515977720.666667
"sp|P09455|RET1_HUMAN",38088746.6666667,43709160,27942706.6666667,38659520,44755276.6666667,41752213.3333333,44414570,27746857.6666667,74006616.6666667,27195710,42882970,29899596.6666667
"sp|P09493|TPM1_HUMAN",103449880,14525370,116908855,75665030,157898955,139706500,44865650,91840545,18710056.6666667,179248800,90661370,84546590
"sp|P09496|CLCA_HUMAN",12222483.5,60553609,109046290,103269100,102020913.333333,82306413.3333333,NA,104050773.333333,88185450,119931596.666667,126390550,70856235
"sp|P09497|CLCB_HUMAN",NA,14065185,15785790,NA,13786360,12637120,NA,11888350,19443775,16269815,22287315,19640380
"sp|P09525|ANXA4_HUMAN",1117488400,1203854200,904195700,1116553733.33333,1346847633.33333,1029014033.33333,1369122066.66667,854050023.333333,968437673.333333,943616166.666667,1019618033.33333,1309404556.66667
"sp|P09543|CN37_HUMAN",301259900,358698316.666667,259461526.666667,253016270,366397780.333333,294648933.333333,273414883.333333,191757040,280197293.666667,242041430,307397986.666667,355959517
"sp|P09601|HMOX1_HUMAN",19953823,28188046.6666667,20126664.3333333,8035606,40555890,24274477.3333333,3368254,15420763,24296305,17049113,7191305,19579520
"sp|P09622|DLDH_HUMAN",113244800,208858553.333333,115606636.666667,98040603.3333333,156893476.666667,139945836.666667,123290900,90560000,128703103.333333,93788785.3333333,103742640,210027486.666667
"sp|P09651|ROA1_HUMAN",862641013.333333,812681336.666667,751560127,757381473.333333,827755540,757398636.666667,789248236.666667,754271203,847652333.333333,749489715,754045193.333333,761975726.666667
"sp|P09661|RU2A_HUMAN",118185473.333333,160969300,113755186.666667,115685636.666667,170681633.333333,227529600,98142023.3333333,77128386.6666667,96217220,79040743.3333333,129175706.666667,130940716.666667
"sp|P09668|CATH_HUMAN",127832446.666667,161760146.666667,128608823.333333,116441823.333333,154138761.666667,140394816.666667,178180190,83439743.3333333,108095556.666667,122668020,140938276.666667,144253056.666667
"sp|P09669|COX6C_HUMAN",91041460,130633650,96265180,158443006.666667,114400740,91459420,68915620,60094480,60806184,86180370,57482407.6666667,101430935
"sp|P09874|PARP1_HUMAN",101468146.666667,144607670,72423680,96393110,198731360,143514520,100845170,137876743.333333,143367830,98816480,138109683.333333,155067753.333333
"sp|P09960|LKHA4_HUMAN",243874940,185020896.666667,234722770,253117303.333333,319927400,288128350,204821130,111556800,148875260,194447983.333333,148243460,196321220
"sp|P09972|ALDOC_HUMAN",675962913.333333,867598316.666667,593339326.666667,641892736.666667,939034543.333333,554384193.333333,849815456.666667,483268750,661967344.333333,618966603,688176926.666667,935426596.666667
"sp|P0C0L5|CO4B_HUMAN",44360130,80236065,59282555,68222231.5,81808665,26511501,64274950,24277443.3333333,64315195,43922105,68923080,84046600
"sp|P10109|ADX_HUMAN",86807706.6666667,92133950.6666667,71550484,89251596.6666667,114612340,110819163.333333,55899073.3333333,48645415.5,77979986.6666667,61800420.3333333,94626410,98397550
"sp|P10155|RO60_HUMAN",94819603.3333333,109857776.666667,72451540,88981606.6666667,123546280,95364743.3333333,101948400,70200916.6666667,72982310,64143930,96245960,104716043.333333
"sp|P10253|LYAG_HUMAN",326112546.666667,388891963.333333,227410096.666667,283435408,383504926.666667,296754303.333333,371700043.333333,202370246.666667,281552846.666667,207085643.333333,303831036.666667,334511516.666667
"sp|P10412|H14_HUMAN",370277533.333333,389718803.666667,622542244,553553508,754683186.5,384645681.666667,830977970,259762430.333333,477119403.5,844935585,449511857.5,494960065
"sp|P10451|OSTP_HUMAN",31731816,52586660,40606330,28972219,55897430,20096125.6666667,12867780,11614375.5,NA,14616980,8539203.5,NA
"sp|P10515|ODP2_HUMAN",313238723.333333,393050893.333333,251538503.333333,269898430,384394206.666667,322923556.666667,262523900,176306000,253265388,228546220,336377316.666667,281572946.666667
"sp|P10586|PTPRF_HUMAN",38110900,36859798.3333333,29339513.3333333,40595723.3333333,50104446.6666667,96634163.3333333,81772493.3333333,38681326.6666667,47810130,47592283.3333333,32559946.6666667,39471683.3333333
