"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"833","sp|P15622|ZN250_HUMAN",-0.179520944482421,20.049267024409,-0.845017655206458,0.436868169370548,0.572469321622846,-6.49941759300947,FALSE,20.0133628355125,20.192883779995,4,1
"834","sp|P15624|SYFB_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"835","sp|P15646|FBRL_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"836","sp|P15705|STI1_YEAST",NA,20.9307769450621,NA,NA,NA,NA,NA,20.9307769450621,NA,5,0
"837","sp|P15822|ZEP1_HUMAN",-0.211396234627793,25.2738715151225,-1.23776581069555,0.239529514554072,0.373244496782363,-6.77420206207499,FALSE,25.1681733978086,25.3795696324364,6,6
"838","sp|P15873|PCNA_YEAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"839","sp|P15880|RS2_HUMAN",-0.430756129468743,25.1421460599213,-1.21074601274766,0.249354106760204,0.384598776773359,-6.80595929895599,FALSE,24.9267679951869,25.3575241246557,6,6
"840","sp|P15891|ABP1_YEAST",2.81130280382892,24.8533607932539,18.2808741841484,4.1156857945473e-10,3.88297963448337e-08,13.7966497694765,TRUE,26.2590121951683,23.4477093913394,6,6
"841","sp|P15923|TFE2_HUMAN",-2.62631609765317,21.9400156681787,-4.3134747583912,0.0025901665828392,0.0114862849423865,-1.86205442506028,TRUE,19.9702785949388,22.5965946925919,2,6
"842","sp|P15992|HSP26_YEAST",NA,22.9088770496277,NA,NA,NA,NA,NA,22.9088770496277,NA,5,0
"843","sp|P16070|CD44_HUMAN",-0.106622798563333,30.4849087559292,-0.840078226373646,0.417326883400996,0.554909950648474,-7.18254484546668,FALSE,30.4315973566476,30.5382201552109,6,6
"844","sp|P16104|H2AX_HUMAN",-0.580024449036008,24.2699900017736,-3.42667366526292,0.00503269881284984,0.0195961953854452,-3.1370127207503,TRUE,23.9799777772556,24.5600022262916,6,6
"845","sp|P16120|THRC_YEAST",NA,25.0886994055422,NA,NA,NA,NA,NA,25.0886994055422,NA,4,0
"846","sp|P16140|VATB_YEAST",2.24297069081909,27.605866875112,3.46913782340684,0.0046538632986904,0.0184853451885616,-3.05784153493595,TRUE,28.7273522205216,26.4843815297025,6,6
"847","sp|P16152|CBR1_HUMAN",NA,20.88965371811,NA,NA,NA,NA,NA,NA,20.88965371811,0,1
"848","sp|P16220|CREB1_HUMAN",-0.304216809160394,21.7919525992496,-1.11748195384956,0.314862784331695,0.453292763251014,-6.43283320898844,FALSE,21.6702658755855,21.9744826847458,3,2
"849","sp|P16383|GCFC2_HUMAN",0.413826390097397,26.4200411119749,0.598247267640396,0.560823272299149,0.681026024941833,-7.36247651964626,FALSE,26.6269543070236,26.2131279169262,6,6
"850","sp|P16387|ODPA_YEAST",NA,23.0693742768689,NA,NA,NA,NA,NA,23.0693742768689,NA,6,0
"851","sp|P16401|H15_HUMAN",-0.237818312127643,32.8034670583095,-1.46547902171863,0.16855651616263,0.291365358308261,-6.48598674312023,FALSE,32.6845579022457,32.9223762143733,6,6
"852","sp|P16402|H13_HUMAN",0.0702328947101379,29.4381127792817,0.563917383745976,0.583220487790247,0.697959103458745,-7.3834396607768,FALSE,29.4732292266368,29.4029963319267,6,6
"853","sp|P16403|H12_HUMAN",-0.216801123454598,29.927368409658,-0.796540349174322,0.441228934117557,0.576343593575055,-7.21899805532178,FALSE,29.8189678479307,30.0357689713853,6,6
"854","sp|P16435|NCPR_HUMAN",NA,21.5484280708607,NA,NA,NA,NA,NA,NA,21.5484280708607,0,2
"855","sp|P16455|MGMT_HUMAN",-0.0093088102456484,22.4472943332931,-0.0758065903484909,0.941236524521372,0.962871149704223,-7.40024822757506,FALSE,22.4421227720455,22.4514315822912,4,5
"856","sp|P16474|BIP_YEAST",NA,21.9196552108824,NA,NA,NA,NA,NA,21.9196552108824,NA,4,0
"857","sp|P16521|EF3A_YEAST",4.15841206327243,28.7834586530083,12.9377056163376,5.49831480370101e-08,1.29367992897271e-06,8.92069014670535,TRUE,30.6736459544957,26.5152338912233,6,5
"858","sp|P16550|APA1_YEAST",NA,21.192440450178,NA,NA,NA,NA,NA,21.192440450178,NA,1,0
"859","sp|P16615|AT2A2_HUMAN",NA,21.2618710619002,NA,NA,NA,NA,NA,NA,21.2618710619002,0,1
"860","sp|P16649|TUP1_YEAST",1.8197810565551,24.3701012929681,13.4905236936335,9.93903722193745e-08,2.06262940999084e-06,8.45539386447075,TRUE,25.0980137155901,23.278232659035,6,4
"861","sp|P16664|RGP1_YEAST",NA,21.9849760909985,NA,NA,NA,NA,NA,21.9849760909985,NA,6,0
"862","sp|P16861|PFKA1_YEAST",-0.604615175497331,27.3150078629442,-0.323260164545773,0.753905838391855,0.830174047828741,-7.29344863427775,FALSE,27.1134694711117,27.7180846466091,6,3
"863","sp|P16862|PFKA2_YEAST",1.74173245014134,28.3920471710737,11.0286180466902,1.25939460761254e-07,2.52837156550039e-06,7.91741380694682,TRUE,29.2629133961443,27.521180946003,6,6
"864","sp|P16885|PLCG2_HUMAN",NA,25.0185937188943,NA,NA,NA,NA,NA,25.0185937188943,NA,1,0
"865","sp|P16949|STMN1_HUMAN",-0.294312902296909,31.269371320563,-3.81913563423969,0.00245349632677271,0.0110258095268837,-2.40660696404416,TRUE,31.1222148694145,31.4165277717114,6,6
"866","sp|P16965|STF2_YEAST",2.15843048542578,22.0843161988593,6.59719685226561,0.00010106514066098,0.000792642525693548,1.31742499094218,TRUE,23.2834442463181,21.1250137608923,4,5
"867","sp|P16989|YBOX3_HUMAN",0.0187093344782537,28.1236927818153,0.0508268409322652,0.960301723662438,0.974547958024463,-7.55161415103777,FALSE,28.1330474490544,28.1143381145761,6,6
"868","sp|P17029|ZKSC1_HUMAN",NA,22.3430533798692,NA,NA,NA,NA,NA,NA,22.3430533798692,0,1
"869","sp|P17065|SEC2_YEAST",NA,23.6205701722154,NA,NA,NA,NA,NA,23.6205701722154,NA,4,0
"870","sp|P17096|HMGA1_HUMAN",-0.382849014146485,28.7461671537285,-3.82548510498389,0.0024253931101068,0.0109427943354902,-2.39483438396066,TRUE,28.5547426466553,28.9375916608018,6,6
"871","sp|P17106|CBF1_YEAST",NA,22.4662099697611,NA,NA,NA,NA,NA,22.4662099697611,NA,6,0
"872","sp|P17119|KAR3_YEAST",NA,21.2813025925218,NA,NA,NA,NA,NA,21.2813025925218,NA,1,0
"873","sp|P17121|SAC7_YEAST",2.19083509749722,22.6421853471756,11.4166599802917,4.78301302916248e-07,7.85264450210054e-06,6.82682351028588,TRUE,23.5185193861745,21.3276842886772,6,4
"874","sp|P17181|INAR1_HUMAN",NA,23.8202252911499,NA,NA,NA,NA,NA,NA,23.8202252911499,0,3
"875","sp|P17252|KPCA_HUMAN",0.0757931078083194,26.9298482305276,0.188579384366306,0.853581541657545,0.903734656028367,-7.53382392817144,FALSE,26.9677447844318,26.8919516766234,6,6
"876","sp|P17255|VATA_YEAST",NA,21.6186731317885,NA,NA,NA,NA,NA,21.6186731317885,NA,3,0
"877","sp|P17302|CXA1_HUMAN",-1.095311328769,24.7643103181026,-4.83388224741349,0.000412058193743241,0.0025201042511383,-0.566722226448533,TRUE,24.2166546537181,25.3119659824871,6,6
"878","sp|P17423|KHSE_YEAST",1.54992032002428,23.4338798570167,8.72520773728775,2.37860750556402e-05,0.000221324335656259,3.13651105403861,TRUE,23.8213599370228,22.2714396169985,6,2
"879","sp|P17480|UBF1_HUMAN",-0.775740443965197,24.2929079887502,-4.77385670491116,0.000581285810401298,0.00334465698383551,-0.814217913597076,TRUE,23.8697768374964,24.6455172814616,5,6
"880","sp|P17535|JUND_HUMAN",0.0786263366593248,25.6371237118749,0.17364200955862,0.86530912867732,0.91196916443196,-7.48911099669932,FALSE,25.6728629558109,25.5942366191516,6,5
