ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|Q96I45|TM141_HUMAN,11944305.666666666,76.94908691724885,11.507572895660974,stomach
sp|Q15650|TRIP4_HUMAN,11927935.787878787,76.94710832242825,11.4918015667364,stomach
sp|Q9Y3B2|EXOS1_HUMAN,11911651.209999999,76.94513734168896,11.476112419770061,stomach
sp|P07204|TRBM_HUMAN,11906292.055555556,76.94448811471041,11.470949217977541,stomach
sp|O60487|MPZL2_HUMAN,11901993.090909092,76.94396711162214,11.466807441098613,stomach
sp|Q9NYQ3|HAOX2_HUMAN,11892995.25,76.94287602967741,11.458138598132388,stomach
sp|Q96BI1|S22AI_HUMAN,11854327.884615384,76.93817779356299,11.420885070111213,stomach
sp|Q69YN2|C19L1_HUMAN,11852539.542424241,76.93796013237908,11.419162117040413,stomach
sp|Q5BKU9|OXLD1_HUMAN,11846466.577777779,76.93722073966984,11.413311204872537,stomach
sp|Q96LW7|CAR19_HUMAN,11839282.9,76.93634562641806,11.406390191797877,stomach
sp|O75190|DNJB6_HUMAN,11836796.053333335,76.9360425558485,11.403994274438121,stomach
sp|P40189|IL6RB_HUMAN,11809001.853571428,76.93265095343463,11.377216344538914,stomach
sp|Q08945|SSRP1_HUMAN,11806875.145,76.93239111197984,11.375167397149546,stomach
sp|Q8N4X5|AF1L2_HUMAN,11798583.831521738,76.93137763138272,11.367179248075452,stomach
sp|Q8WWH5|TRUB1_HUMAN,11797608.984000001,76.93125842506015,11.366240044974694,stomach
sp|Q9NWH9|SLTM_HUMAN,11793275.503584905,76.93072839908523,11.362065014365104,stomach
sp|Q0JRZ9|FCHO2_HUMAN,11778702.117021276,76.92894450504447,11.348024490545823,stomach
sp|Q01814|AT2B2_HUMAN,11777607.056285715,76.92881037208822,11.346969469719053,stomach
sp|Q8WUR7|CO040_HUMAN,11774664.25,76.92844984872285,11.344134264492752,stomach
sp|Q6ZMZ3|SYNE3_HUMAN,11758417.861917807,76.92645787953406,11.328481910947515,stomach
sp|O95391|SLU7_HUMAN,11755850.087674761,76.92614279295009,11.326008025055268,stomach
sp|Q99683|M3K5_HUMAN,11748747.452592593,76.92527088380938,11.3191650914231,stomach
sp|Q96D05|F241B_HUMAN,11740307.0375,76.92423406510504,11.311033292500813,stomach
sp|Q5IJ48|CRUM2_HUMAN,11725591.129629629,76.92242458225986,11.296855458537914,stomach
sp|Q92918|M4K1_HUMAN,11710219.191489361,76.92053200659892,11.28204558146064,stomach
sp|P14859|PO2F1_HUMAN,11692958.976923076,76.91840398532804,11.265416471082917,stomach
sp|Q9H9Q4|NHEJ1_HUMAN,11686485.275,76.9176050289629,11.259179474235752,stomach
sp|Q6ZSJ8|CA122_HUMAN,11685585.333333334,76.91749392700689,11.258312438124987,stomach
sp|O75355|ENTP3_HUMAN,11676650.222222222,76.91639038183565,11.249704031298217,stomach
sp|Q9NX57|RAB20_HUMAN,11663391.053333335,76.91475122969926,11.236929671968939,stomach
sp|Q9HBB8|CDHR5_HUMAN,11648760.326060606,76.91294035603867,11.222833904051903,stomach
sp|P13497|BMP1_HUMAN,11621889.512903225,76.9096085706021,11.196945597958297,stomach
sp|Q8IZI9|IFNL3_HUMAN,11616189.191666668,76.90890078185167,11.191453703829916,stomach
sp|A6NGB9|WIPF3_HUMAN,11614339.473076923,76.9086710341881,11.189671618533207,stomach
sp|Q02224|CENPE_HUMAN,11591578.886893203,76.90584101515286,11.167743252668622,stomach
sp|Q8N9N8|EIF1A_HUMAN,11589781.100000001,76.90561724413666,11.166011200232779,stomach
sp|Q3SYG4|PTHB1_HUMAN,11570044.58857143,76.90315835049574,11.14699633655559,stomach
sp|O75600|KBL_HUMAN,11564846.447619047,76.90251003689113,11.141988260941922,stomach
sp|Q5HYJ3|FA76B_HUMAN,11563774.653846154,76.90237632623408,11.1409556563423,stomach
sp|O14595|CTDS2_HUMAN,11562438.461538462,76.90220961342133,11.139668320701995,stomach
sp|P11086|PNMT_HUMAN,11558419.461538462,76.90170805837982,11.135796271814572,stomach
sp|O75326|SEM7A_HUMAN,11554883.476744186,76.90126663745606,11.132389577117229,stomach
sp|Q8IVI9|NOSTN_HUMAN,11552828.242424242,76.90101000656114,11.13040949058776,stomach
sp|Q96I23|PREY_HUMAN,11549916.625,76.90064636353384,11.127604333830323,stomach
sp|P50591|TNF10_HUMAN,11544446.66875,76.89996295184564,11.122334381600398,stomach
sp|Q96GC9|VMP1_HUMAN,11544374.284615384,76.89995390606263,11.122264644126425,stomach
sp|Q9Y6K0|CEPT1_HUMAN,11540123.392307691,76.89942257621463,11.118169181864527,stomach
sp|P41743|KPCI_HUMAN,11517765.951724138,76.8966248371602,11.096629220944603,stomach
sp|Q86W92|LIPB1_HUMAN,11503177.613333333,76.89479636942525,11.08257429199823,stomach
sp|O15263|DFB4A_HUMAN,11483494.133333333,76.89232561017509,11.063610520703225,stomach
sp|Q9BXT5|TEX15_HUMAN,11474684.276223777,76.89121838489267,11.05512278807834,stomach
sp|Q8TB03|CX038_HUMAN,11467276.668181818,76.89028673656632,11.047986032547776,stomach
sp|Q9BZF1|OSBL8_HUMAN,11463697.710526315,76.88983639857216,11.044537936253144,stomach
sp|Q8TCU6|PREX1_HUMAN,11461080.19130841,76.88950694874912,11.042016124266208,stomach
sp|Q8N2U9|S66A2_HUMAN,11450817.781666666,76.8882145609683,11.032128950383253,stomach
sp|Q6P1M0|S27A4_HUMAN,11438056.274358975,76.88660583480993,11.019834056088007,stomach
sp|Q96KJ9|COX42_HUMAN,11434283.445454545,76.88612988511116,11.016199177271924,stomach
sp|Q7Z7L7|ZER1_HUMAN,11395863.982978724,76.88127423356673,10.979184487813127,stomach
sp|Q96N67|DOCK7_HUMAN,11390083.104496123,76.8805421994875,10.973614981941795,stomach
sp|P32881|IFNA8_HUMAN,11384486.3,76.8798331206803,10.968222819557536,stomach
sp|Q5TEU4|NDUF5_HUMAN,11380555.373913044,76.87933488942649,10.964435624239908,stomach
sp|Q8N271|PROM2_HUMAN,11373357.782051282,76.87842217341492,10.957501205837206,stomach
sp|A0A024RBG1|NUD4B_HUMAN,11371278.7,76.87815842056261,10.9554981435472,stomach
sp|Q9BW27|NUP85_HUMAN,11353752.311764706,76.87593310008741,10.938612591900766,stomach
sp|P12643|BMP2_HUMAN,11330543.605,76.87298100512615,10.916252490580334,stomach
sp|Q96PC3|AP1S3_HUMAN,11313097.277777778,76.87075788783895,10.899444072588189,stomach
